Company Name,Price,High,Low,Pct Increase
3M India Ltd.,21200,25208.7,15685.6,35.1558117
Aarti Industries Ltd.,1122.8,1229.1,662.05,69.59444151
AAVAS Financiers Ltd.,1471.9,2078.3,845.75,74.03488028
Aditya Birla Capital Ltd.,81.6,115.3,37.45,117.8905207
ABB India Ltd.,983.55,1534.9,722.45,36.14090941
Abbott India Ltd.,15255,18569,11811.7,29.15160392
ACC Ltd.,1691.65,1723.45,895.5,88.90563931
Adani Enterprises Ltd.,394.1,401.8,116.25,239.0107527
Adani Ports and Special Economic Zone Ltd.,379.55,405,203.4,86.6027532
Adani Power Ltd.,37.5,67.5,24.3,54.32098765
Adani Transmission Ltd.,367.75,372.9,147.5,149.3220339
Aditya Birla Fashion & Retail Ltd.,157.75,285.3,97.05,62.54507986
Advanced Enzyme Technologies Ltd.,324,384.75,91.05,255.8484349
Aegis Logistics Ltd.,228,266.95,108.1,110.9158187
Arvind Fashions Ltd.,136.2,400.95,110.55,23.20217096
Adani Gas Ltd.,292.9,293.8,76.7,281.8774446
AIA Engineering Ltd.,1739.8,1985.05,1111,56.59765977
Ajanta Pharma Ltd.,1547.3,1759.35,943,64.08271474
Akzo Nobel India Ltd.,2037,2515,1730,17.74566474
Alembic Pharmaceuticals Ltd.,963.85,1128,436.1,121.0158221
Alkem Laboratories Ltd.,2680.55,3089.55,1880.55,42.54074606
Alkyl Amines Chemicals Ltd.,3313.25,3600,853.4,288.241153
Allcargo Logistics Ltd.,127.2,139.9,51.5,146.9902913
Alok Industries Ltd.,24.1,61.4,2.02,1093.069307
Amara Raja Batteries Ltd.,832,846,350.25,137.544611
Amber Enterprises India Ltd.,2266.6,2544.95,921.6,145.9418403
Ambuja Cements Ltd.,267.5,271.95,136.65,95.75557995
APL Apollo Tubes Ltd.,3310,3375,1025,222.9268293
Apollo Hospitals Enterprises Ltd.,2308,2341.15,1047.45,120.3446465
Apollo Tyres Ltd.,173.15,182.3,73.55,135.4180829
Ashok Leyland Ltd.,91.75,93.15,33.7,172.2551929
Ashoka Buildcon Ltd.,71.3,121.6,37,92.7027027
Asian Paints Ltd.,2186.95,2249.6,1431.85,52.73597095
Aster DM Healthcare Ltd Ltd.,164.7,180.5,78.5,109.8089172
Astral Poly Technik Ltd.,1465,1547.7,747.6,95.96040663
AstraZeneca Pharma Ltd.,4356.05,4970,1888,130.7229873
Atul Ltd.,6462.9,7021.25,3256.6,98.45544433
AU Small Finance Bank Ltd.,893.85,1217.7,366.2,144.0879301
Aurobindo Pharma Ltd.,855.25,967.6,281.15,204.1970478
Avanti Feeds Ltd.,486,769.9,250,94.4
Avenue Supermarts Ltd.,2423.3,2559,1701,42.46325691
Axis Bank Ltd.,628.8,765.9,285,120.6315789
Bajaj Auto Ltd.,3045,3315,1793.1,69.81763426
Bajaj Consumer Care Ltd.,180.75,252.5,117.5,53.82978723
Bajaj Electricals Ltd.,560.65,566.8,260,115.6346154
Bajaj Finance Ltd.,4487.85,4923.2,1783.1,151.6880713
Bajaj Finserv Ltd.,7364.7,10297,3985.6,84.78271778
Bajaj Holdings & Investment Ltd.,2715,3949.35,1471.85,84.46173183
Balkrishna Industries Ltd.,1620.1,1624.5,677.6,139.0938607
Balmer Lawrie and Company Ltd.,100.8,138.67,69.85,44.30923407
Balrampur Chini Mills Ltd.,153.2,195,68.8,122.6744186
Bandhan Bank Ltd.,352.85,596.8,152.35,131.6048572
Bank Of Baroda,47.55,108.25,36.05,31.9001387
Bank Of India,40.9,79.8,30.45,34.31855501
Bank of Maharashtra,11.24,15.34,7.71,45.7846952
BASF India Ltd.,1505.2,1870,795,89.33333333
Bata India Ltd.,1376.3,1897,1017.2,35.30279198
Bayer CropScience Ltd.,5085,6550,2980.8,70.59178744
BEML Ltd.,620.7,1080,369.6,67.93831169
Berger Paints India Ltd.,647.25,675.45,390,65.96153846
Bharat Dynamics Ltd.,306.95,481.25,147,108.8095238
Bharat Electronics Ltd.,96.15,118.45,56.1,71.39037433
Bharat Forge Ltd.,495.5,539.45,207.85,138.3930719
Bharti Airtel Ltd.,484.6,611.7,350.5,38.2596291
Bharti Infratel Ltd.,185.4,295.75,121.25,52.90721649
Bharat Heavy Electricals Ltd.,28.25,57.85,19.2,47.13541667
Biocon Ltd.,428.9,477.9,235.8,81.89143342
Birla Corporation Ltd.,764.4,807.6,372.5,105.2080537
Birlasoft Ltd.,183.1,210.55,47.6,284.6638655
Bliss GVS Pharma Ltd.,166.15,181.25,82.5,101.3939394
Blue Dart Express Ltd.,4232,4292,1860,127.5268817
Blue Star Ltd.,697.85,887,425,64.2
Bombay Burmah Trading Corporation Ltd.,1282.6,1566.8,538,138.401487
Bombay Dyeing and Manufacturing Company Ltd.,68.7,101.75,36.2,89.77900552
Bosch Ltd.,11653.95,17136.6,7874,48.00546101
Bharat Petroleum Corporation Ltd.,394.45,549.7,252,56.52777778
Brigade Enterprises Ltd.,217.45,255,90.7,139.7464168
Britannia Industries Ltd.,3510.5,4015,2100.55,67.12289638
Cadila Healthcare Ltd.,429.7,451.15,212.7,102.0216267
Can Fin Homes Ltd.,481.2,519,253.55,89.78505226
Canara Bank,92.45,234.3,73.85,25.18618822
Caplin Point Laboratories Ltd.,474.3,686,180,163.5
Capri Global Capital Ltd.,248.5,270,115,116.0869565
Carborundum Universal Ltd.,312.6,361.4,175,78.62857143
CARE Ratings Ltd.,442.85,726.6,236.45,87.29118207
Castrol India Ltd.,115.9,162.05,89.65,29.28053542
CCL Products India Ltd.,248.3,293.8,137.25,80.91074681
Ceat Ltd.,1130.9,1249,601.5,88.01330008
Central Bank of India,11.7,23.9,10.04,16.53386454
Century Textiles and Industries Ltd.,314.9,657,220.1,43.07133121
Century Plyboards Ltd.,202.05,210,95,112.6842105
Cera Sanitaryware Ltd.,3069.3,3150,2000.75,53.4074722
CESC Ltd.,583.75,783.9,366.2,59.40742764
Crompton Greaves Consumer Electrical Ltd.,294,328.45,177.9,65.2613828
Chalet Hotels Ltd.,154.9,395,99,56.46464646
Chambal Fertilisers and Chemicals Ltd.,186.1,189.15,95.25,95.38057743
Chennai Petroleum Corporation Ltd.,79.9,168.8,47.7,67.50524109
Cholamandalam Investment and Finance Company Ltd.,323.6,348.85,117.4,175.6388416
Cholamandalam Financial Holdings Ltd.,446,568.2,222,100.9009009
Cipla Ltd.,742.5,829,356.75,108.1289418
City Union Bank Ltd.,188.25,249,110.1,70.98092643
Coal India Ltd.,128.7,215.65,109.5,17.53424658
Cochin Shipyard Ltd.,339.25,491.15,209,62.32057416
COFORGE LIMITED Ltd.,2307.3,2813.05,739.05,212.1980921
Colgate Palmolive (India) Ltd.,1531.7,1602.45,1065.2,43.79459256
Container Corporation of India Ltd.,409,605,263.2,55.39513678
Coromandel International Ltd.,791.1,838,444.2,78.0954525
CreditAccess Grameen Ltd.,719.25,1000.8,305.75,135.2412101
CRISIL Ltd.,2016.95,2125,1083.5,86.15136133
Cummins India Ltd.,492.75,652.8,281.6,74.98224432
Cyient Ltd.,428.2,514,184.15,132.5278306
Dabur India Ltd.,511.5,535.85,385.05,32.83989092
Dalmia Bharat Ltd.,982.6,989,406,142.0197044
DB Corp Ltd.,76.5,150.5,59,29.66101695
DCB Bank Ltd.,90.65,204.55,58.1,56.02409639
DCM Shriram Ltd.,340.35,431.1,175.8,93.60068259
Deepak Fertilizers and Petrochemicals Coprn Ltd.,142.4,182.01,53.79,164.7332218
Deepak Nitrite Ltd.,802.6,888,310,158.9032258
Delta Corp Ltd.,132.4,224.75,54,145.1851852
Dhanuka Agritech Ltd.,708.95,935,261,171.6283525
Dilip Buildcon Ltd.,361.45,441.5,193.4,86.89245088
Dish TV India Ltd.,10.43,19.38,3.93,165.394402
Dishman Carbogen Amcis Ltd.,144.75,216.65,46.45,211.6254037
Divis Laboratories Ltd.,3428.25,3484.7,1627.15,110.6904711
Dixon Technologies Ltd.,10120.95,10790,2899.95,249.0042932
DLF Ltd.,188.2,266.65,114.5,64.36681223
Dr Lal PathLabs Ltd.,2142.05,2395,1181.8,81.25317313
Dr Reddys Laboratories Ltd.,4785.3,5514.65,2497.6,91.59593209
eClerx Services Ltd.,715.5,814.65,323.15,121.4142039
Edelweiss Financial Services Ltd.,57.65,134.25,29.9,92.80936455
Eicher Motors Ltd.,2545.8,2587.45,1246,104.317817
EID Parry (India) Ltd.,299.95,325.4,100,199.95
EIH Ltd.,88.2,158.54,53.65,64.39888164
Emami Ltd.,382,407,140.85,171.2105076
Endurance Technologies Ltd.,1029,1201.9,562,83.09608541
Engineers India Ltd.,70.75,109.7,49.85,41.92577733
EPL Ltd.,262,318.75,126.1,107.7716098
Equitas Holdings Ltd.,51.95,120.5,32.75,58.6259542
Esab India Ltd.,1353.6,1727,870,55.5862069
Escorts Ltd.,1422,1433.6,527.1,169.7780307
Exide Industries Ltd.,170.35,208.1,121.9,39.74569319
FDC Ltd.,325.25,378,165.65,96.3477211
Federal Bank Ltd.,58,96.95,35.7,62.46498599
Fine Organics Industries Ltd.,2582,3258.25,1500,72.13333333
Finolex Cables Ltd.,277.1,429.9,165,67.93939394
Finolex Industries Ltd.,610.9,622.8,283,115.8657244
Firstsource Solutions Ltd.,75.65,78.35,20.65,266.3438257
Force Motors Ltd.,1092.7,1502,580,88.39655172
Fortis Healthcare Ltd.,141.9,169,113.2,25.35335689
Future Consumer Ltd.,7.2,29.1,5.44,32.35294118
Future Retail Ltd.,68.4,387.9,61.05,12.03931204
GAIL India Ltd.,93.55,133.3,65.7,42.38964992
Galaxy Surfactants Ltd.,1921.35,2035.85,975,97.06153846
Garden Reach Shipbuilders & Engineers Ltd.,192.5,243.2,105.3,82.81101614
Garware Technical Fibres Ltd.,2112.75,2249.95,872.5,142.1489971
Gateway Distriparks Ltd.,103.95,137.6,71.01,46.3878327
GE Power India Ltd.,275,820.9,177.35,55.0606146
Great Eastern Shipping Company Ltd.,247.1,369.35,168.95,46.25628884
General Insurance Corporation of India Ltd.,126.1,286.5,81.7,54.34516524
Gillette India Ltd.,5873.6,7245,4420,32.88687783
GlaxoSmithKline Pharmaceuticals Ltd.,1452.4,1805,1046.4,38.79969419
Glenmark Pharma Ltd.,486.95,572.7,168,189.8511905
GMM Pfaudler Ltd.,3525.35,6913.85,1465,140.6382253
GMR Infrastructure Ltd.,24.45,28.25,14.1,73.40425532
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,191.5,232.3,95.7,100.1044932
Godfrey Phillips India Ltd.,876.5,1480.4,732.4,19.67504096
Godrej Agrovet Ltd.,505,597.95,265.05,90.53008866
Godrej Consumer Products Ltd.,679.8,771.75,425.1,59.91531404
Godrej Industries Ltd.,395.45,478.2,234,68.9957265
Godrej Properties Ltd.,1032.9,1188,505.95,104.1506078
Granules India Ltd.,385.45,406.9,114.5,236.6375546
Graphite India Ltd.,180.1,337.3,103,74.85436893
Grasim Industries Ltd.,841.7,853,380,121.5
Greaves Cotton Ltd.,73.75,148,66,11.74242424
Grindwell Norton Ltd.,554,699,369.2,50.05417118
Gujarat State Fertilizers & Chemicals Ltd.,64,97.7,29.9,114.0468227
Gujarat Alkalies and Chemicals Ltd.,316.05,450.55,165,91.54545455
Gujarat Heavy Chemicals Ltd.,166.1,217.7,68.8,141.4244186
Gujarat Mineral Development Corporation Ltd.,45.6,72.4,29.5,54.57627119
Gujarat State Petronet Ltd.,190.7,263.45,146,30.61643836
Gujarat Fluorochemicals Ltd.,526.35,698,219,140.3424658
Gujarat Gas Ltd.,311,334.65,189.2,64.37632135
Gujarat Pipavav Port Ltd.,90.75,99.3,45.5,99.45054945
Gulf Oil Lubricants India Ltd.,709.55,887,450,57.67777778
Hathway Cable and Datacom Ltd.,28.5,57.45,10.7,166.3551402
Havells India Ltd.,844.2,849.6,447.2,88.7745975
Hawkins Cooker Ltd.,5077.2,5539.95,3111,63.20154291
HCL Technologies Ltd.,815.25,910.75,375.5,117.1105193
Housing Development Finance Corporation Ltd.,2347.15,2499.65,1473.1,59.33405743
HDFC Asset Management Company Ltd.,2503.65,3844,1963.6,27.50305561
HDFC Bank Ltd.,1408.2,1415,738.9,90.58059277
HDFC Life Insurance Company Ltd.,670.05,673.75,339.15,97.56744803
HEG Ltd.,703.85,1299.8,413.2,70.34123911
HeidelbergCement India Ltd.,206.3,217.8,120,71.91666667
Heritage Foods Ltd.,270.7,407.7,146.7,84.52624404
Hero Motocorp Ltd.,3034,3393.85,1475,105.6949153
HFCL Ltd.,16.9,20,8.15,107.3619632
Himadri Speciality Chemical Ltd.,45.1,74.85,27.3,65.2014652
Himatsingka Seide Ltd.,121.9,151.95,43,183.4883721
Hindustan Copper Ltd.,36.7,51,18.3,100.5464481
Hindustan Zinc Ltd.,223.95,258.8,122,83.56557377
Hindalco Industries Ltd.,213.45,221.2,85.05,150.9700176
Hindustan Aeronautics Ltd.,779.9,1423.55,448,74.08482143
Honeywell Automation Ltd.,29865,39499.5,20142,48.2722669
Hindustan Petroleum Corporation Ltd.,217.7,302.6,155,40.4516129
Housing & Urban Development Corporation Ltd.,33.45,45.7,18.05,85.31855956
Hindustan Unilever Ltd.,2176.35,2614,1756,23.93792711
ICICI Bank Ltd.,486.2,552.4,269,80.74349442
